hour,Demand,,,,,,,
1,925.1133439,,65799426,,,,,0
2,497.1198158,,62678166,,,81524951,,0
3,352.0846035,,61620457,,,60330231,,0
4,242.6018444,,60822024,,,21194720,,0
5,175.1661866,,60330231,,,,,0
6,192.792676,,60458777,,,,,0
7,398.0185661,,61955443,,,71450499.13,,0
8,820.1716553,,65034110,,,7292773.827,,0
9,1237.923538,,68080680,,,,,0
10,1758.894857,,71880006,,,,,0
11,1972.72543,,73439424,,,,,0
12,2169.561919,,74874908,,,,,0
13,1911.9731,,72996371,,,,,0
14,2029.065721,,73850301,,,,,0
15,2496.477721,,77259031,,,,,0
16,2533.46735,,77528788,,,,,0
17,2851.569084,,79848632,,,,,0
18,3081.429359,,81524951,,,,,0
19,3054.687545,,81329929,,,,,0
20,3019.186924,,81071031,,,,,0
21,2857.912761,,79894895,,,,,0
22,2504.456578,,77317219,,,,,0
23,2086.119732,,74266383,,,,,0
24,1631.47969,,70950796,,,,,0
